,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강원도 고성군 / 속초시, 옥계산불 ver1_1",,,,,,,,,,,,,,,
1114,1,1.0,3.2,6.0,59.29,20.9,16.29,24.33,3.56,0.0,,10.0,2.0,1.0,0.0,0.0
1115,2,2.0,2.2,6.0,58.67,9.52,17.11,24.33,3.57,0.0,,7.0,2.0,1.0,0.0,0.0
1116,1,1.0,2.6,3.0,96.55,113.12,85.18,24.27,3.62,0.0,,8.0,7.0,1.0,0.0,0.0
1117,5,7.0,2.1,5.0,96.44,93.64,58.97,24.29,3.59,0.0,,11.0,9.0,1.0,0.0,0.0
1118,0,0.0,0.0,3.0,0.42,68.23,57.89,24.27,3.62,0.0,,6.0,6.0,1.0,0.0,0.0
1119,0,0.0,0.0,3.0,0.59,60.15,75.57,24.29,3.6,0.0,,7.0,6.0,1.0,1.0,0.0
1120,0,0.0,0.0,4.0,4.02,76.16,59.88,24.28,3.61,0.0,,6.0,6.0,1.0,0.0,0.0
1121,0,0.0,0.0,6.0,12.61,84.97,35.28,24.29,3.6,0.0,,6.0,1.0,1.0,0.0,0.0
1122,0,0.0,0.0,6.0,16.75,86.95,21.54,24.29,3.6,0.0,,6.0,0.0,1.0,1.0,0.0
1123,0,1.0,0.0,5.0,6.37,43.49,40.92,24.31,3.58,0.0,,11.0,7.0,1.0,1.0,0.0
1124,0,0.0,0.0,7.0,9.69,69.34,59.62,24.3,3.59,0.0,,7.0,4.0,0.0,0.0,0.0
1125,0,1.0,0.0,4.0,21.45,13.09,30.34,24.33,3.55,0.0,,15.0,12.0,1.0,1.0,0.0
1126,1,1.0,0.0,5.0,22.92,17.88,62.67,24.34,3.55,0.0,,12.0,10.0,1.0,0.0,0.0
1127,1,1.0,1.9,8.0,18.13,25.24,48.43,24.34,3.55,0.0,,10.0,4.0,1.0,1.0,0.0
1128,0,0.0,0.0,1.0,1.95,0.09,121.72,24.3,3.58,0.0,,11.0,7.0,1.0,0.0,0.0
1129,0,0.0,0.0,1.0,2.25,0.0,23.04,24.31,3.57,0.0,,12.0,8.0,1.0,0.0,0.0
1130,1,1.0,5.7,1.0,2.64,5.58,7.26,24.32,3.57,0.0,,8.0,2.0,1.0,0.0,0.0
1131,1,2.0,2.9,1.0,2.98,10.42,41.49,24.33,3.56,0.0,,8.0,2.0,1.0,0.0,0.0
1132,1,2.0,2.9,1.0,3.12,11.0,56.85,24.33,3.56,0.0,,8.0,2.0,1.0,0.0,0.0
1133,1,2.0,2.9,1.0,3.44,2.95,31.05,24.36,3.53,0.0,,11.0,0.0,1.0,0.0,0.0
1134,사계 2리동 회관,,,,,,,,,,,,,,,
1135,1,3.0,1.8,3.0,9.62,46.65,234.43,23.84,6.39,0.0,,7.0,2.0,1.0,0.0,0.0
1136,3,5.0,1.7,5.0,13.47,21.65,63.39,23.84,6.41,0.0,,24.0,8.0,1.0,0.0,0.0
1137,3,4.0,1.7,5.0,12.73,29.17,40.32,23.85,6.41,0.0,,24.0,2.0,1.0,0.0,0.0
1138,3,5.0,1.7,5.0,11.62,41.16,31.81,23.86,6.4,0.0,,10.0,2.0,1.0,0.0,0.0
1139,1,1.0,3.0,5.0,13.26,34.21,92.15,23.89,6.41,0.0,,12.0,3.0,1.0,0.0,0.0
1140,2,2.0,3.0,6.0,10.25,31.5,144.06,23.91,6.41,0.0,,4.0,3.0,1.0,0.0,0.0
1141,3,5.0,2.3,5.0,0.15,43.67,59.9,23.93,6.31,0.0,,12.0,0.0,1.0,0.0,0.0
1142,2,3.0,0.7,4.0,65.49,37.74,51.67,23.94,6.25,0.0,,33.0,21.0,1.0,0.0,0.0
1143,3,5.0,2.3,6.0,0.09,33.77,38.94,23.94,6.32,0.0,,3.0,0.0,1.0,0.0,0.0
1144,1,3.0,0.7,4.0,42.39,36.19,31.8,23.96,6.26,0.0,,37.0,30.0,1.0,0.0,0.0
1145,2,3.0,0.7,4.0,36.24,40.89,126.27,23.96,6.27,0.0,,35.0,24.0,1.0,0.0,0.0
1146,3,3.0,2.8,6.0,27.96,39.46,78.72,23.98,6.27,0.0,,32.0,15.0,1.0,0.0,0.0
1147,1,1.0,5.1,10.0,19.89,21.4,33.84,24.0,6.28,0.0,,26.0,14.0,1.0,0.0,0.0
1148,0,0.0,0.0,9.0,27.25,18.33,19.48,24.01,6.27,0.0,,30.0,23.0,1.0,0.0,0.0
1149,0,0.0,0.0,9.0,27.14,15.55,13.91,24.01,6.27,0.0,,30.0,23.0,1.0,0.0,0.0
