,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,주건물 지붕특성,불난 후 상태
0,사계 2리동 회관,,,,,,,,,,
1910,3,3.0,4.2,5.0,96.16,168.12,55.81,16.7,14.2,1.0,0.0
1911,1,1.0,5.5,6.0,92.14,147.42,45.16,16.7,14.2,1.0,0.0
1912,3,3.0,5.0,6.0,92.33,140.5,7.49,16.7,14.2,1.0,0.0
1913,4,4.0,1.9,5.0,96.2,170.03,75.4,16.7,14.2,1.0,0.0
1914,1,1.0,5.5,8.0,92.49,142.59,25.92,16.7,14.2,0.0,0.0
1915,4,4.0,1.9,5.0,96.2,170.03,75.4,16.7,14.2,1.0,0.0
1916,3,3.0,5.0,6.0,92.14,137.83,6.85,16.7,14.2,1.0,0.0
1917,2,2.0,1.9,3.0,97.63,186.26,22.98,16.7,14.2,1.0,0.0
1918,1,1.0,5.5,8.0,92.49,142.59,25.92,16.7,14.2,1.0,0.0
1919,2,2.0,1.9,4.0,98.05,202.84,21.77,16.7,14.1,1.0,0.0
1920,2,2.0,1.9,5.0,96.34,173.66,55.3,16.7,14.1,0.0,0.0
1921,1,1.0,5.5,8.0,92.23,137.36,9.33,16.7,14.2,1.0,0.0
1922,1,1.0,5.5,9.0,91.72,134.35,14.11,16.7,14.2,1.0,0.0
1923,2,2.0,1.9,9.0,93.29,146.04,35.11,16.7,14.2,1.0,0.0
1924,2,2.0,1.9,7.0,93.54,158.91,51.84,16.7,14.1,1.0,0.0
1925,1,1.0,5.5,8.0,89.85,128.0,8.87,16.7,14.2,1.0,0.0
1926,1,1.0,5.5,8.0,90.49,130.97,30.89,16.7,14.2,1.0,0.0
1927,1,1.0,1.9,9.0,93.52,145.54,33.7,16.7,14.2,1.0,0.0
1928,1,1.0,1.9,9.0,93.41,140.6,35.87,16.7,14.1,1.0,0.0
1929,1,1.0,5.5,9.0,90.47,126.5,19.44,16.7,14.2,0.0,0.0
1930,1,1.0,1.9,6.0,96.69,172.53,31.1,16.7,14.1,0.0,0.0
1931,1,1.0,1.9,7.0,96.54,173.27,36.69,16.7,14.1,1.0,0.0
1932,1,1.0,1.9,8.0,94.98,162.58,33.18,16.7,14.1,1.0,0.0
1933,1,1.0,1.9,8.0,96.09,164.6,33.7,16.7,14.1,1.0,0.0
1934,1,1.0,1.9,7.0,96.81,166.76,63.68,16.7,14.1,1.0,0.0
1935,1,1.0,1.9,9.0,93.82,141.27,63.07,16.7,14.1,1.0,0.0
1936,1,1.0,1.9,9.0,94.05,138.69,40.32,16.7,14.1,1.0,0.0
1937,0,0.0,0.0,9.0,91.54,119.57,47.92,16.7,14.1,1.0,0.0
1938,1,1.0,1.9,8.0,94.34,142.75,13.25,16.7,14.1,0.0,0.0
1939,0,0.0,0.0,6.0,96.94,181.38,32.66,16.7,14.1,0.0,0.0
1940,0,0.0,0.0,6.0,97.04,176.59,42.16,16.7,14.1,1.0,0.0
1941,3,3.0,1.9,8.0,94.8,144.02,46.01,16.7,14.1,1.0,0.0
1942,0,0.0,0.0,7.0,96.76,174.61,35.38,16.7,14.1,1.0,0.0
1943,3,3.0,1.9,9.0,96.7,160.46,7.56,16.7,14.1,1.0,0.0
