2,4,2.2,11,24.82,31.25,18.79,38590.5,488.46,0,,
1,3,4.7,9,57.58,31.25,15.9,38610,385.01,0,,
1,1,7.9,7,0,31.25,22.68,38661.81,440.6,0,,
3,4,4.7,9,0,31.25,43.55,38625.13,401.89,0,,
3,4,4.7,10,0,31.25,54.37,38620,396.16,0,,
4,6,2.8,9,0,31.25,29.72,38625.7,403.03,0,,
4,6,2.8,10,0,31.25,41.21,38616.42,393.72,0,,
2,3,4.7,11,75.76,31.25,370.92,38601.77,377.91,0,,
1,1,3.1,4,0,31.25,18.66,38691.28,474.75,0,,
1,1,3.1,4,0,31.25,35.28,38687.11,469.92,0,,
2,2,5.2,8,0,31.25,49.2,38652.24,432.59,0,,
2,3,2.8,8,0,31.25,73.01,38636.65,415.31,0,,
2,3,2.8,8,0,31.25,41.21,38630.18,408.69,0,,
4,6,2.8,8,0,31.25,38.94,38628.06,405.95,0,,
4,6,2.8,10,0,31.25,41.21,38616.42,393.72,0,,
3,4,4.7,12,59.01,31.25,45.16,38607.2,383.93,0,,
4,6,2.8,10,0,31.25,38.94,38618.99,396.91,0,,
5,6,2.8,11,30.79,31.25,34.99,38611.81,389.43,0,,
2,3,4.7,12,79.4,31.25,44.35,38600.06,376.95,0,,
2,2,3.1,8,0,31.25,27.52,38659.55,441.5,0,,
1,1,5.2,8,0,31.25,40.78,38654.47,435.95,0,,
3,3,2.8,8,0,31.25,51.83,38637.28,417.75,0,,
2,3,2.8,8,0,31.25,49.28,38632.7,411.92,0,,
4,5,2.8,8,0,31.25,50.95,38621.34,399.88,0,,
5,5,2.8,10,0,31.25,38.92,38614.29,392.53,0,,
1,1,3.1,4,0,31.25,32.66,38676.58,462.24,0,,
2,3,3.1,6,0,31.25,40.39,38666.21,450.43,0,,
3,3,2.8,8,0,31.25,46.73,38638.83,420.26,0,,
3,3,2.8,8,0,31.25,44.35,38626.23,406.17,0,,
5,5,2.8,9,0,31.25,38.19,38616.5,395.39,0,,
5,5,2.8,13,56.3,31.25,36.69,38607.31,385.92,0,,
2,3,4.7,13,84.57,31.25,102.27,38596.54,374.4,0,,
2,3,4.7,12,89.45,31.25,35.94,38582.06,359.14,0,,
5,6,2.8,13,74.69,31.25,45.14,38601.26,380.21,0,,
2,3,3.1,4,0,31.25,35.11,38670.71,456.82,0,,
3,3,2.8,8,0,31.25,70.55,38630.95,413.3,0,,
3,3,2.8,8,0,31.25,15.84,38627.63,408.99,0,,
3,3,2.8,8,0,31.25,50.95,38621.62,402.02,0,,
4,4,2.8,8,0,31.25,44.32,38612.49,392.86,0,,
5,5,2.8,11,61.66,31.25,36.72,38604.89,384.78,0,,
4,5,3.9,13,90.95,31.25,36.29,38580.75,358.82,0,,
3,3,2.8,8,0,31.25,34.52,38615.4,396.63,0,,
4,4,2.8,10,25.69,31.25,28.48,38608.67,389.44,0,,
